movieId,genres,original_title,id,overview,actors,director
1,Adventure|Animation|Children|Comedy|Fantasy,Toy Story,862,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.","['tomhanks', 'timallen', 'donrickles']",johnlasseter
2,Adventure|Children|Fantasy,Jumanji,8844,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.","['robinwilliams', 'jonathanhyde', 'kirstendunst']",joejohnston
6,Action|Crime|Thriller,Heat,949,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.","['alpacino', 'robertdeniro', 'valkilmer']",michaelmann
10,Action|Adventure|Thriller,GoldenEye,710,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"['piercebrosnan', 'seanbean', 'izabellascorupco']",martincampbell
16,Crime|Drama,Casino,524,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"['robertdeniro', 'sharonstone', 'joepesci']",martinscorsese
18,Comedy,Four Rooms,5,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"['timroth', 'antoniobanderas', 'jenniferbeals']",allisonanders
19,Comedy,Ace Ventura: When Nature Calls,9273,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","['jimcarrey', 'ianmcneice', 'simoncallow']",steveoedekerk
34,Children|Drama,Babe,9598,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","['christinecavanaugh', 'miriammargolyes', 'dannymann']",chrisnoonan
39,Comedy|Romance,Clueless,9603,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","['aliciasilverstone', 'staceydash', 'brittanymurphy']",amyheckerling
44,Action|Adventure|Fantasy,Mortal Kombat,9312,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","['christopherlambert', 'robinshou', 'lindenashby']",paulw.s.anderson
48,Animation|Children|Drama|Musical|Romance,Pocahontas,10530,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","['irenebedard', 'melgibson', 'davidogdenstiers']",mikegabriel
69,Comedy,Friday,10634,"Craig and Smokey are two guys in Los Angeles hanging out on their porch on a Friday afternoon, smoking and drinking, looking for something to do.","['icecube', 'christucker', 'nialong']",f.garygray
70,Action|Comedy|Horror|Thriller,From Dusk Till Dawn,755,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.","['georgeclooney', 'quentintarantino', 'harveykeitel']",robertrodriguez
95,Action|Adventure|Thriller,Broken Arrow,9208,"When rogue stealth-fighter pilot Vic Deakins deliberately drops off the radar while on maneuvers, the Air Force ends up with two stolen nuclear warheads -- and Deakins's co-pilot, Riley Hale, is the military's only hope for getting them back. Traversing the deserted canyons of Utah, Hale teams with park ranger Terry Carmichael to put Deakins back in his box.","['johntravolta', 'christianslater', 'samanthamathis']",johnwoo
104,Comedy,Happy Gilmore,9614,"Failed hockey player-turned-golf whiz Happy Gilmore -- whose unconventional approach and antics on the grass courts the ire of rival Shooter McGavin -- is determined to win a PGA tournament so he can save his granny's house with the prize money. Meanwhile, an attractive tour publicist tries to soften Happy's image.","['adamsandler', 'benstiller', 'christophermcdonald']",dennisdugan
110,Action|Drama|War,Braveheart,197,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.","['melgibson', 'catherinemccormack', 'sophiemarceau']",melgibson
111,Crime|Drama|Thriller,Taxi Driver,103,"A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, attempting to save a preadolescent prostitute in the process.","['robertdeniro', 'cybillshepherd', 'harveykeitel']",martinscorsese
145,Action|Comedy|Crime|Drama|Thriller,Bad Boys,9737,"Marcus Burnett is a hen-pecked family man. Mike Lowry is a foot-loose and fancy free ladies' man. Both are Miami policemen, and both have 72 hours to reclaim a consignment of drugs stolen from under their station's nose. To complicate matters, in order to get the assistance of the sole witness to a murder, they have to pretend to be each other.","['willsmith', 'martinlawrence', 'téaleoni']",michaelbay
150,Adventure|Drama|IMAX,Apollo 13,568,"The true story of technical troubles that scuttle the Apollo 13 lunar mission in 1971, risking the lives of astronaut Jim Lovell and his crew, with the failed journey turning into a thrilling saga of heroism. Drifting more than 200,000 miles from Earth, the astronauts work furiously with the ground crew to avert tragedy.","['tomhanks', 'billpaxton', 'kevinbacon']",ronhoward
153,Action|Adventure|Comedy|Crime,Batman Forever,414,"The Dark Knight of Gotham City confronts a dastardly duo: Two-Face and the Riddler. Formerly District Attorney Harvey Dent, Two-Face believes Batman caused the courtroom accident which left him disfigured on one side. And Edward Nygma, computer-genius and former employee of millionaire Bruce Wayne, is out to get the philanthropist; as The Riddler. Former circus acrobat Dick Grayson, his family killed by Two-Face, becomes Wayne's ward and Batman's new partner Robin.","['valkilmer', 'tommyleejones', 'jimcarrey']",joelschumacher
158,Adventure|Children,Casper,8839,"Furious that her late father only willed her his gloomy-looking mansion rather than his millions, Carrigan Crittenden is ready to burn the place to the ground when she discovers a map to a treasure hidden in the house. But when she enters the rickety mansion to seek her claim, she is frightened away by a wicked wave of ghosts. Determined to get her hands on this hidden fortune, she hires afterlife therapist Dr. James Harvey to exorcise the ghosts from the mansion. Harvey and his daughter Kat move in, and soon Kat meets Casper, the ghost of a young boy who's ""the friendliest ghost you know."" But not so friendly are Casper's uncles--Stretch, Fatso and Stinkie--who are determined to drive all ""fleshies"" away.","['christinaricci', 'billpullman', 'cathymoriarty']",bradsilberling
161,Drama|Thriller|War,Crimson Tide,8963,"On a US nuclear missile sub, a young first officer stages a mutiny to prevent his trigger happy captain from launching his missiles before confirming his orders to do so.","['denzelwashington', 'genehackman', 'mattcraven']",tonyscott
163,Action|Romance|Western,Desperado,8068,A gunslinger is embroiled in a war with a local drug runner.,"['antoniobanderas', 'salmahayek', 'joaquimdealmeida']",robertrodriguez
165,Action|Crime|Thriller,Die Hard: With a Vengeance,1572,"New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration.","['brucewillis', 'jeremyirons', 'samuell.jackson']",johnmctiernan
173,Action|Crime|Sci-Fi,Judge Dredd,9482,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.","['sylvesterstallone', 'dianelane', 'armandassante']",dannycannon
190,Thriller,Safe,72387,"After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.","['jasonstatham', 'chrissarandon', 'jameshong']",boazyakin
196,Horror|Sci-Fi,Species,9348,"In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.","['natashahenstridge', 'benkingsley', 'michaelmadsen']",rogerdonaldson
208,Action|Adventure|Sci-Fi,Waterworld,9804,"In a futuristic world where the polar ice caps have melted and made Earth a liquid planet, a beautiful barmaid rescues a mutant seafarer from a floating island prison. They escape, along with her young charge, Enola, and sail off aboard his ship. But the trio soon becomes the target of a menacing pirate who covets the map to 'Dryland' – which is tattooed on Enola's back.","['kevincostner', 'chaimgirafi', 'rickaviles']",kevinreynolds
215,Drama|Romance,Before Sunrise,76,"A dialogue marathon of a film, this fairytale love story of an American boy and French girl. During a day and a night together in Vienna their two hearts collide.","['ethanhawke', 'juliedelpy', 'andreaeckert']",richardlinklater
216,Comedy,Billy Madison,11017,"Billy Madison is the 27 year-old son of Bryan Madison, a very rich man who has made his living in the hotel industry. Billy stands to inherit his father's empire but only if he can make it through all 12 grades, 2 weeks per grade, to prove that he has what it takes to run the family business.","['adamsandler', 'darrenmcgavin', 'bridgettewilson']",tamradavis
223,Comedy,Clerks,2292,"Convenience and video store clerks Dante and Randal are sharp-witted, potty-mouthed and bored out of their minds. So in between needling customers, the counter jockeys play hockey on the roof, visit a funeral home and deal with their love lives.","[""briano'halloran"", 'jeffanderson', 'jasonmewes']",kevinsmith
235,Comedy|Drama,Ed Wood,522,"The mostly true story of the legendary ""worst director of all time"", who, with the help of his strange friends, filmed countless B-movies without ever becoming famous or successful.","['johnnydepp', 'martinlandau', 'sarahjessicaparker']",timburton
266,Drama|Romance|War|Western,Legends of the Fall,4476,"An epic tale of three brothers and their father living in the remote wilderness of 1900s USA and how their lives are affected by nature, history, war, and love.","['bradpitt', 'anthonyhopkins', 'aidanquinn']",edwardzwick
288,Action|Crime|Thriller,Natural Born Killers,241,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,"['woodyharrelson', 'juliettelewis', 'robertdowneyjr.']",oliverstone
292,Action|Drama|Sci-Fi|Thriller,Outbreak,6950,"A deadly airborne virus finds its way into the USA and starts killing off people at an epidemic rate. Col Sam Daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the White House.","['dustinhoffman', 'renerusso', 'morganfreeman']",wolfgangpetersen
296,Comedy|Crime|Drama|Thriller,Pulp Fiction,680,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.","['johntravolta', 'samuell.jackson', 'umathurman']",quentintarantino
299,Drama,Priest,38321,"In an alternate world, humanity and vampires have warred for centuries. After the last Vampire War, the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires, the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend, who is a wasteland sheriff, and a former Warrior Priestess.","['paulbettany', 'karlurban', 'camgigandet']",scottstewart
316,Action|Adventure|Sci-Fi,Stargate,2164,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.","['kurtrussell', 'jamesspader', 'jayedavidson']",rolandemmerich
